,City Name,Country,Latitude,Longitude,Date,Temperature,Humidity,Wind Speed,Clouds
0,pevek,RU,69.7,170.27,2019-04-18,17.3,80.0,12.37,96.0
1,jamestown,AU,-33.21,138.6,2019-04-18,82.01,23.0,13.8,7.0
2,college,US,64.86,-147.8,2019-04-18,32.0,80.0,3.36,90.0
3,castro,CL,-42.48,-73.76,2019-04-18,48.2,93.0,5.82,20.0
4,new norfolk,AU,-42.78,147.06,2019-04-18,57.0,62.0,9.17,20.0
5,joensuu,FI,62.6,29.76,2019-04-18,30.99,80.0,4.63,0.0
6,acapulco,MX,16.86,-99.88,2019-04-18,78.8,83.0,10.29,20.0
7,tasiilaq,GL,65.61,-37.64,2019-04-18,37.4,74.0,10.29,94.0
8,ushuaia,AR,-54.81,-68.31,2019-04-18,35.6,69.0,8.05,75.0
9,airai,TL,-8.93,125.41,2019-04-18,79.56,60.0,5.01,0.0
10,hobart,AU,-42.88,147.33,2019-04-18,57.0,62.0,9.17,20.0
11,thompson,CA,55.74,-97.86,2019-04-18,53.6,37.0,4.7,75.0
12,ostuni,IT,40.73,17.58,2019-04-18,57.0,87.0,10.29,0.0
13,hilo,US,19.71,-155.08,2019-04-18,80.6,61.0,9.17,75.0
14,hermanus,ZA,-34.42,19.24,2019-04-18,64.99,90.0,5.99,16.0
15,arraial do cabo,BR,-22.97,-42.02,2019-04-18,77.07,80.0,16.96,11.0
16,torbay,CA,47.66,-52.73,2019-04-18,30.0,74.0,4.7,5.0
17,uribia,CO,11.71,-72.27,2019-04-18,83.1,59.0,12.91,96.0
18,leningradskiy,RU,69.38,178.42,2019-04-18,12.08,80.0,13.06,0.0
19,mahebourg,MU,-20.41,57.7,2019-04-18,77.0,83.0,9.17,40.0
20,rikitea,PF,-23.12,-134.97,2019-04-18,79.52,71.0,6.06,27.0
21,ponta do sol,BR,-20.63,-46.0,2019-04-18,63.63,93.0,1.48,0.0
22,port macquarie,AU,-31.43,152.91,2019-04-18,75.99,78.0,4.7,40.0
23,dunedin,NZ,-45.87,170.5,2019-04-18,60.01,63.0,11.99,0.0
24,cape town,ZA,-33.93,18.42,2019-04-18,69.01,82.0,2.24,0.0
25,mataura,NZ,-46.19,168.86,2019-04-18,64.0,61.0,4.0,1.0
26,makakilo city,US,21.35,-158.09,2019-04-18,84.2,54.0,10.29,40.0
27,mareeba,AU,-16.99,145.42,2019-04-18,75.99,83.0,12.75,75.0
28,borzoy,RU,42.84,45.63,2019-04-18,39.2,93.0,0.89,75.0
29,gambela,ET,8.25,34.59,2019-04-18,76.48,52.0,4.18,45.0
30,frontera,MX,18.53,-92.64,2019-04-18,93.2,49.0,12.33,5.0
31,busselton,AU,-33.64,115.35,2019-04-18,50.0,97.0,32.35,100.0
32,qaanaaq,GL,77.48,-69.36,2019-04-18,-15.88,87.0,4.05,100.0
33,kirakira,SB,-10.46,161.92,2019-04-18,84.4,70.0,7.11,85.0
34,salalah,OM,17.01,54.1,2019-04-18,80.6,65.0,3.36,20.0
35,mar del plata,AR,-46.43,-67.52,2019-04-18,57.56,45.0,11.18,1.0
36,maldonado,UY,-34.91,-54.96,2019-04-18,62.6,82.0,5.82,0.0
37,ramsey,US,45.26,-93.45,2019-04-18,53.01,57.0,6.93,75.0
38,bluff,AU,-23.58,149.07,2019-04-18,77.11,49.0,15.75,0.0
39,muisne,EC,0.61,-80.02,2019-04-18,80.35,81.0,8.3,24.0
40,upernavik,GL,72.79,-56.15,2019-04-18,-5.66,98.0,8.55,58.0
41,lavrentiya,RU,65.58,-170.99,2019-04-18,5.13,79.0,9.89,0.0
42,keetmanshoop,NA,-26.57,18.15,2019-04-18,69.8,12.0,6.93,0.0
43,alice springs,AU,-23.7,133.88,2019-04-18,78.8,24.0,12.75,2.0
44,taywarah,AF,33.35,64.42,2019-04-18,51.05,44.0,2.44,0.0
45,oum hadjer,TD,13.3,19.7,2019-04-18,90.36,12.0,11.79,21.0
46,gamboma,CG,-1.87,15.88,2019-04-18,75.87,83.0,6.22,100.0
47,belmonte,PT,40.36,-7.35,2019-04-18,48.0,94.0,1.9,97.0
48,smithers,CA,54.78,-127.17,2019-04-18,50.0,34.0,11.41,75.0
49,aklavik,CA,68.22,-135.01,2019-04-18,21.2,67.0,9.17,75.0
50,carnarvon,ZA,-30.97,22.13,2019-04-18,59.65,15.0,5.26,0.0
51,novokizhinginsk,RU,51.61,109.59,2019-04-18,42.24,47.0,12.33,95.0
52,xique-xique,BR,-10.82,-42.73,2019-04-18,81.88,74.0,3.65,52.0
53,katsuura,JP,33.93,134.5,2019-04-18,66.99,63.0,2.24,75.0
54,banda aceh,ID,5.56,95.32,2019-04-18,84.54,72.0,6.4,100.0
55,kahului,US,20.89,-156.47,2019-04-18,82.4,54.0,17.22,20.0
56,buala,SB,-8.15,159.59,2019-04-18,82.44,78.0,6.4,100.0
57,maniitsoq,GL,65.42,-52.9,2019-04-18,18.75,63.0,7.7,0.0
58,qingdao,CN,36.09,120.35,2019-04-18,57.2,33.0,13.42,0.0
59,kaitangata,NZ,-46.28,169.85,2019-04-18,55.99,71.0,5.99,0.0
60,butaritari,KI,3.07,172.79,2019-04-18,82.65,79.0,17.96,100.0
61,klaksvik,FO,62.23,-6.59,2019-04-18,50.0,81.0,14.99,59.0
62,kargasok,RU,59.06,80.87,2019-04-18,10.51,91.0,5.35,0.0
63,talnakh,RU,69.49,88.39,2019-04-18,-14.81,75.0,4.47,0.0
64,puerto ayora,EC,-0.74,-90.35,2019-04-18,84.2,74.0,9.17,20.0
65,sitka,US,37.17,-99.65,2019-04-18,55.0,48.0,11.01,87.0
66,chokurdakh,RU,70.62,147.9,2019-04-18,4.44,84.0,17.87,100.0
67,yuryuzan,RU,54.87,58.43,2019-04-18,25.29,55.0,0.76,25.0
68,vaini,IN,15.34,74.49,2019-04-18,73.4,33.0,6.93,0.0
69,port elizabeth,US,39.31,-74.98,2019-04-18,73.4,68.0,6.93,1.0
70,nanortalik,GL,60.14,-45.24,2019-04-18,30.42,82.0,2.28,30.0
